,team,name,position,price_trend,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
94,Valladolid,Antonio Candela,DEF,downward,5.0,0.4,3.4351128074635335,-3.0,-3.0,1.0,2.0,5.0,858.7782018658834,-3.0
95,Valladolid,Anuar Mohamed,MED,upward,18.0,3.3333333333333335,3.910769444375214,-1.0,1.25,2.0,3.75,13.0,117.32308333125643,2.0
96,Valladolid,André Ferreira,POR,downward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Valladolid,Javi Sánchez,DEF,upward,22.0,3.1363636363636362,4.097565532123103,-4.0,0.0,2.0,5.75,10.0,130.64701696624388,0.0
98,Valladolid,Darwin Machís,DEL,upward,13.0,3.3076923076923075,2.2870874995874626,1.0,2.0,2.0,4.0,10.0,69.14450580148144,2.0
99,Valladolid,Karl Hein,POR,upward,28.0,4.5,3.5224149964771905,-1.0,2.0,4.0,6.25,12.0,78.27588881060423,2.0
100,Valladolid,Juan Miguel Latasa,DEL,upward,20.0,1.9,2.770141550629916,-2.0,0.0,1.5,2.0,8.0,145.79692371736402,2.0
101,Valladolid,Mario Martín,MED,upward,24.0,3.0,2.9042697203764756,-2.0,0.75,3.0,4.0,9.0,96.80899067921585,3.0
102,Valladolid,Mamadou Sylla,DEL,upward,22.0,2.727272727272727,3.209833376209785,-1.0,1.25,2.0,2.75,14.0,117.69389046102545,2.0
103,Valladolid,Marcos André,DEL,upward,20.0,2.55,2.684752267312965,0.0,1.0,2.0,2.25,9.0,105.28440263972414,2.0
104,Valladolid,David Torres,DEF,upward,18.0,1.3333333333333333,2.589571847418252,-2.0,0.0,0.5,2.0,8.0,194.2178885563689,0.0
105,Valladolid,Selim Amallah,MED,upward,19.0,3.789473684210526,4.391645444204523,-1.0,1.0,2.0,8.0,14.0,115.89064366650825,1.0
106,Valladolid,Luis Pérez,DEF,upward,27.0,2.259259259259259,3.54739983425122,-4.0,0.0,2.0,3.0,12.0,157.01605823734909,3.0
107,Valladolid,Tamás Nikitscher,MED,downward,7.0,1.2857142857142858,1.799470821684875,-1.0,0.0,1.0,2.5,4.0,139.95884168660137,0.0
108,Valladolid,Stanko Juric,MED,upward,22.0,2.909090909090909,2.8268961762579807,-3.0,1.0,2.5,4.0,9.0,97.17455605886809,1.0
109,Valladolid,Eray Cömert,DEF,upward,19.0,1.4736842105263157,2.3890588814805898,-2.0,0.0,1.0,2.0,6.0,162.11470981475432,1.0
110,Valladolid,Kenedy,MED,downward,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,47.14045207910317,1.0
111,Valladolid,Raul Moro,MED,upward,24.0,5.25,4.088690658920998,-1.0,2.0,4.5,8.0,15.0,77.87982207468568,2.0
112,Valladolid,Joseph Aidoo,DEF,downward,4.0,1.5,1.7320508075688772,-1.0,1.25,2.0,2.25,3.0,115.47005383792515,2.0
113,Valladolid,Cenk Özkacar,DEF,downward,5.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,33.33333333333333,2.0
114,Valladolid,Florian Grillitsch,MED,downward,7.0,2.857142857142857,2.4784787961282104,0.0,1.0,2.0,5.0,6.0,86.74675786448736,1.0
115,Valladolid,Adam Aznou,DEF,downward,6.0,1.1666666666666667,1.9407902170679516,-1.0,0.0,0.5,2.5,4.0,166.35344717725297,0.0
116,Valladolid,Iván Sánchez,MED,upward,24.0,2.5833333333333335,2.0624313778658907,0.0,1.0,2.0,3.25,7.0,79.83605333674416,2.0
117,Atlético,Samuel Lino,MED,upward,25.0,4.76,4.303874223688854,1.0,2.0,3.0,6.0,15.0,90.41752570774902,2.0
118,Atlético,Conor Gallagher,MED,upward,23.0,3.9565217391304346,3.0522459818299112,0.0,2.0,3.0,5.5,12.0,77.14467866163513,3.0
119,Atlético,Alexander Sorloth,DEL,upward,26.0,5.269230769230769,3.8320510675897035,0.0,3.0,4.0,8.0,18.0,72.72505675717686,3.0
120,Atlético,Juan Musso,POR,downward,1.0,10.0,,10.0,10.0,10.0,10.0,10.0,,10.0
121,Atlético,Koke Resurrección,MED,upward,23.0,4.478260869565218,2.293658554627822,1.0,2.5,4.0,5.5,9.0,51.21761821013583,2.0
122,Atlético,Nahuel Molina,DEF,upward,22.0,4.590909090909091,3.3474807998893295,-1.0,2.0,3.5,7.0,12.0,72.915423363926,2.0
123,Atlético,Clément Lenglet,DEF,upward,17.0,5.647058823529412,4.045694879600231,0.0,3.0,5.0,7.0,16.0,71.64251349292076,3.0
124,Atlético,Javi Galán,DEF,upward,17.0,4.294117647058823,3.653161402852893,-1.0,2.0,3.0,7.0,12.0,85.07362171027286,2.0
125,Atlético,Antonio Gomis,POR,downward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Atlético,Giuliano Simeone,DEL,upward,24.0,5.166666666666667,3.1161105448196524,2.0,3.0,4.0,6.25,12.0,60.31181699650939,3.0
127,Atlético,Axel Witsel,DEF,upward,12.0,4.083333333333333,3.2321772378645477,-1.0,2.0,3.0,6.0,10.0,79.15536092729505,2.0
128,Atlético,Reinildo Mandava,DEF,upward,19.0,2.5789473684210527,2.6101466428298665,-2.0,1.0,2.0,4.5,7.0,101.2097677831989,1.0
129,Atlético,Antoine Griezmann,DEL,upward,29.0,6.689655172413793,4.400514972103201,1.0,3.0,5.0,11.0,16.0,65.7808939128829,2.0
130,Atlético,Thomas Lemar,MED,downward,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,28.284271247461902,2.0
131,Atlético,José María Giménez,DEF,upward,24.0,5.25,3.8021732915702877,-1.0,3.0,5.0,9.0,12.0,72.42234841086263,3.0
132,Atlético,Pablo Barrios,MED,upward,23.0,4.826086956521739,2.8228318133817885,-2.0,2.0,5.0,7.0,9.0,58.49110964664966,2.0
133,Atlético,César Azpilicueta,DEF,upward,9.0,4.777777777777778,3.192874010111336,1.0,3.0,5.0,6.0,11.0,66.82759556046982,1.0
134,Atlético,Ángel Correa,DEL,upward,25.0,2.92,2.498666310921355,0.0,2.0,2.0,3.0,8.0,85.57076407264914,2.0
135,Atlético,Rodrigo De Paul,MED,upward,27.0,5.185185185185185,3.6588884087198377,0.0,2.5,4.0,8.5,12.0,70.56427645388258,3.0
136,Atlético,Jan Oblak,POR,upward,28.0,7.178571428571429,3.8495172513943965,-1.0,4.0,8.0,10.0,13.0,53.62511593982243,9.0
137,Atlético,Robin Le Normand,DEF,upward,19.0,4.421052631578948,3.990485760930257,-2.0,1.0,4.0,8.0,9.0,90.26098744961295,9.0
138,Atlético,Julián Álvarez,DEL,upward,29.0,6.103448275862069,4.466900711952679,-1.0,3.0,5.0,9.0,16.0,73.18650883990264,4.0
139,Atlético,Marcos Llorente,MED,upward,24.0,5.666666666666667,3.985480895828569,-1.0,2.75,4.5,8.25,16.0,70.33201580873944,2.0
140,Atlético,Rodrigo Riquelme,MED,upward,13.0,2.923076923076923,2.6287366566958377,0.0,1.0,2.0,6.0,8.0,89.9304645711734,2.0
141,Alavés,Carlos Martín,DEL,upward,20.0,3.85,3.375998877525381,-1.0,2.0,2.5,5.25,11.0,87.68828253312677,2.0
142,Alavés,Carles Aleñá,MED,upward,16.0,3.5625,2.6068819177963034,1.0,2.0,2.0,5.25,10.0,73.17563278024711,2.0
143,Alavés,Toni Martinez,DEL,upward,23.0,2.782608695652174,2.5753467858122865,0.0,1.0,2.0,3.5,9.0,92.55152511512905,2.0
144,Alavés,Pau Cabanes,DEL,upward,14.0,2.5,3.180469244527388,0.0,1.0,2.0,2.75,13.0,127.21876978109552,2.0
145,Alavés,Santiago Mouriño,DEF,upward,18.0,3.611111111111111,2.746953154676455,0.0,2.0,3.0,5.0,9.0,76.06947197565567,3.0
146,Alavés,Aleksandar Sedlar,DEF,upward,7.0,2.857142857142857,1.5735915849388862,1.0,2.0,3.0,3.0,6.0,55.07570547286102,3.0
147,Alavés,Hugo Novoa,DEF,downward,5.0,1.4,0.8944271909999159,0.0,1.0,2.0,2.0,2.0,63.887656499993994,2.0
148,Alavés,Jon Guridi,MED,upward,25.0,3.52,3.110734104141122,0.0,2.0,3.0,5.0,12.0,88.3731279585546,2.0
149,Alavés,Antonio Blanco,MED,upward,26.0,3.730769230769231,2.973989809097433,0.0,2.0,3.0,5.75,10.0,79.71519075931263,2.0
150,Alavés,Kike García,DEL,upward,27.0,4.888888888888889,4.107529046981271,1.0,2.0,4.0,6.0,20.0,84.01763959734417,2.0
151,Alavés,Tomás Conechny,MED,upward,15.0,2.6,2.32379000772445,0.0,1.0,2.0,4.0,8.0,89.37653875863269,0.0
152,Alavés,Moussa Diarra,DEF,upward,22.0,1.9090909090909092,2.180194200810275,-1.0,0.0,2.0,3.75,5.0,114.20064861387154,-1.0
153,Alavés,Carlos Vicente,MED,upward,28.0,5.607142857142857,3.852265189462829,1.0,2.75,5.0,8.0,16.0,68.70281866557913,2.0
154,Alavés,Carlos Benavidez,MED,upward,12.0,2.8333333333333335,4.40729422937049,-1.0,0.75,2.0,2.5,16.0,155.55156103660553,2.0
155,Alavés,Adrián Pica,DEF,upward,8.0,2.875,2.03100960115899,0.0,1.75,2.5,4.25,6.0,70.64381221422575,2.0
156,Alavés,Ander Guevara,MED,upward,25.0,3.4,1.7559422921421233,1.0,2.0,3.0,5.0,7.0,51.64536153359186,2.0
157,Alavés,Abdel Abqar,DEF,upward,27.0,3.3333333333333335,3.281650616569468,-2.0,0.0,4.0,5.0,9.0,98.44951849708403,0.0
